Rank,Player,Team,Jersey,Overall,RushDefense,PassRush,Coverage,Snaps,RunSnaps,PassRushSnaps,CoverageSnaps,Age,Status,Height,Weight,Speed,College,DraftYear,DraftRound,DraftPick,Rank,Player,Team
59,Quinton Bell,MIA,56,64.8,69.0,65.9,49.0,258,131,83,44,28.9,A,"6' 4""",253,,PRVIEW A&M,2019,7,230,59,Quinton Bell,MIA
60,DeMarcus Walker,CHI,95,64.7,62.3,61.3,67.0,738,310,415,13,30.5,A,"6' 4""",280,,FLORIDA ST,2017,2,51,60,DeMarcus Walker,CHI
60,Michael Hoecht,BUF,55,64.7,74.7,63.7,40.9,705,295,254,156,0.0,A,"6' 4""",310,,BROWN,2020,,,60,Michael Hoecht,BUF
62,Preston Smith,PIT,91,64.2,64.3,59.3,69.3,469,182,261,26,32.4,A,"6' 5""",265,4.7,MISS STATE,2015,2,38,62,Preston Smith,PIT
63,Dallas Turner,MIN,15,64.1,62.7,55.3,77.5,310,104,151,55,22.2,A,"6' 4""",242,,ALABAMA,2024,1,17,63,Dallas Turner,MIN
64,K'Lavon Chaisson,NE,44,63.0,59.5,74.7,43.5,508,159,309,40,25.7,A,"6' 3""",245,,LSU,2020,1,20,64,K'Lavon Chaisson,NE
65,Chris Braswell,TB,43,62.1,57.3,67.0,51.0,335,116,185,34,23.5,A,"6' 3""",255,,ALABAMA,2024,2,57,65,Chris Braswell,TB
66,Tavius Robinson,BLT,95,62.0,58.3,54.0,85.2,548,251,279,18,26.3,A,"6' 6""",258,4.7,OLE MISS,2023,4,125,66,Tavius Robinson,BLT
67,Julian Okwara,CLV,0,61.6,69.9,60.7,46.9,286,137,108,41,27.3,A,"6' 4""",239,,NOTRE DAME,2020,3,67,67,Julian Okwara,CLV
68,Byron Young,LA,0,61.5,55.7,66.8,61.9,936,359,424,153,27.1,A,"6' 2""",250,4.4,TENNESSEE,2023,3,78,68,Byron Young,LA
69,Charles Omenihu,KC,90,61.3,64.1,57.8,70.0,347,119,222,6,27.7,A,"6' 5""",280,,TEXAS,2019,5,161,69,Charles Omenihu,KC
70,Charles Snowden,LV,49,61.2,73.5,51.2,55.8,405,197,132,76,27.1,A,"6' 7""",240,,VIRGINIA,2021,,,70,Charles Snowden,LV
70,Felix Anudike-Uzomah,KC,91,61.2,61.1,60.3,58.1,358,156,191,11,23.2,A,"6' 3""",255,,KANSAS ST,2023,1,32,70,Felix Anudike-Uzomah,KC
72,Joey Bosa,BUF,97,61.1,67.4,64.8,60.5,503,151,347,5,29.8,A,"6' 5""",280,4.9,OHIO STATE,2016,1,3,72,Joey Bosa,BUF
73,James Smith-Williams,ATL,50,60.9,57.0,52.0,79.8,306,149,129,28,27.7,A,"6' 4""",265,,NC STATE,2020,7,229,73,James Smith-Williams,ATL
74,Al-Quadin Muhammad,DET,96,60.7,54.7,59.8,80.7,293,95,190,8,30.1,A,"6' 3""",250,4.9,MIAMI FL,2017,6,196,74,Al-Quadin Muhammad,DET
75,Denico Autry,HST,96,60.6,54.1,65.2,56.4,351,88,259,4,34.8,A,"6' 5""",285,,MISS STATE,2014,,,75,Denico Autry,HST
76,Dante Fowler Jr.,DAL,3,60.5,52.3,63.6,80.4,642,229,387,26,30.7,A,"6' 3""",261,4.6,FLORIDA,2015,1,3,76,Dante Fowler Jr.,DAL
77,Derick Hall,SEA,58,60.0,45.7,67.6,71.8,673,268,369,36,24.1,A,"6' 3""",254,4.5,AUBURN,2023,2,38,77,Derick Hall,SEA
78,Darrell Taylor,HST,52,59.8,50.3,70.5,53.1,374,134,225,15,28.1,A,"6' 4""",255,,TENNESSEE,2020,2,48,78,Darrell Taylor,HST
79,Deatrich Wise Jr.,WAS,91,59.7,54.8,63.6,63.3,409,140,269,0,30.7,A,"6' 5""",280,4.9,ARKANSAS,2017,4,131,79,Deatrich Wise Jr.,WAS
79,Carl Lawson,DAL,55,59.7,58.8,64.8,59.5,402,97,292,13,29.8,A,"6' 2""",265,4.7,AUBURN,2017,4,116,79,Carl Lawson,DAL
79,Emmanuel Ogbah,JAX,0,59.7,72.4,51.2,52.9,734,265,414,55,31.4,A,"6' 4""",278,4.6,OKLA STATE,2016,2,32,79,Emmanuel Ogbah,JAX
82,Will McDonald IV,NYJ,99,59.4,39.5,73.9,60.1,756,276,462,18,25.9,A,"6' 3""",241,,IOWA STATE,2023,1,15,82,Will McDonald IV,NYJ
83,Mike Danna,KC,51,59.2,57.6,55.8,64.4,626,235,359,32,27.4,A,"6' 2""",257,,MICHIGAN,2020,5,177,83,Mike Danna,KC
84,Sam Hubbard,CIN,94,58.9,67.7,47.6,57.3,521,240,253,28,28.8,A,"6' 5""",265,,OHIO STATE,2018,3,77,84,Sam Hubbard,CIN
85,Joseph Ossai,CIN,58,58.3,57.0,58.0,59.0,573,191,349,33,25.0,A,"6' 4""",263,,TEXAS,2021,3,69,85,Joseph Ossai,CIN
86,Baron Browning,ARZ,5,58.0,43.5,76.3,47.7,378,125,215,38,26.2,A,"6' 3""",240,,OHIO STATE,2021,3,106,86,Baron Browning,ARZ
87,Cameron Jordan,NO,94,57.4,54.5,54.3,73.6,565,216,341,8,35.9,A,"6' 4""",287,4.7,CAL,2011,1,24,87,Cameron Jordan,NO
88,Kingsley Enagbare,GB,55,56.8,66.6,56.8,56.5,538,203,305,30,25.2,A,"6' 4""",258,,S CAROLINA,2022,5,179,88,Kingsley Enagbare,GB
89,Anthony Nelson,TB,98,56.6,46.5,61.0,58.1,624,205,323,96,28.1,A,"6' 7""",271,,IOWA,2019,4,107,89,Anthony Nelson,TB
90,A.J. Epenesa,BUF,57,56.5,61.6,54.2,62.2,712,295,401,16,26.6,A,"6' 6""",260,,IOWA,2020,2,54,90,A.J. Epenesa,BUF
90,Myles Murphy,CIN,99,56.5,48.6,56.6,69.6,353,116,215,22,23.3,A,"6' 5""",275,,CLEMSON,2023,1,29,90,Myles Murphy,CIN
92,Azeez Ojulari,PHI,52,56.4,60.1,54.6,51.8,391,189,196,6,24.8,A,"6' 3""",240,,GEORGIA,2021,2,50,92,Azeez Ojulari,PHI
93,Dawuane Smoot,BUF,94,56.3,53.1,60.4,71.4,386,133,246,7,30.1,A,"6' 3""",264,4.8,ILLINOIS,2017,3,68,93,Dawuane Smoot,BUF
94,Pat Jones II,CAR,0,55.8,69.4,50.7,48.2,459,112,315,32,26.6,A,"6' 5""",264,,PITTSBURGH,2021,3,91,94,Pat Jones II,CAR
95,D.J. Wonnum,CAR,98,55.0,53.0,56.4,56.6,453,188,229,36,27.5,A,"6' 5""",258,,S CAROLINA,2020,4,117,95,D.J. Wonnum,CAR
96,Jonah Elliss,DEN,52,54.6,64.7,60.4,28.7,441,147,243,51,22.0,A,"6' 2""",246,,UTAH,2024,3,76,96,Jonah Elliss,DEN
97,Dre'Mont Jones,TEN,45,54.3,45.5,65.9,37.7,617,230,375,12,28.3,A,"6' 3""",281,,OHIO STATE,2019,3,71,97,Dre'Mont Jones,TEN
98,DJ Johnson,CAR,52,54.2,60.3,50.1,64.1,392,245,128,19,26.5,A,"6' 4""",260,4.5,OREGON,2023,3,81,98,DJ Johnson,CAR
99,Charles Harris,PHI,95,54.1,58.7,58.9,29.3,474,205,236,33,30.1,P,"6' 3""",250,4.8,MISSOURI,2017,1,22,99,Charles Harris,PHI
99,Sam Okuayinonu,SF,91,54.1,49.3,61.6,56.0,451,198,249,4,0.0,A,"6' 1""",269,,MARYLAND,2022,,,99,Sam Okuayinonu,SF
101,Payton Turner,DAL,98,54.0,40.7,70.8,62.9,335,145,189,1,26.3,A,"6' 6""",270,,HOUSTON,2021,1,28,101,Payton Turner,DAL
102,Haason Reddick,TB,5,53.5,56.3,52.9,61.3,392,129,241,22,30.6,A,"6' 1""",240,4.5,TEMPLE,2017,1,13,102,Haason Reddick,TB
102,Leonard Floyd,ATL,56,53.5,54.4,53.9,75.4,604,224,373,7,32.6,A,"6' 5""",240,4.6,GEORGIA,2016,1,9,102,Leonard Floyd,ATL
104,Joe Tryon-Shoyinka,CLV,0,53.1,50.2,56.7,63.3,570,182,293,95,26.0,A,"6' 5""",259,,WASHINGTON,2021,1,32,104,Joe Tryon-Shoyinka,CLV
105,Josh Paschal,DET,93,53.0,59.7,48.4,64.8,613,198,401,14,25.3,A,"6' 3""",274,,KENTUCKY,2022,2,46,105,Josh Paschal,DET
105,Tyus Bowser,MIA,51,53.0,57.0,51.6,57.0,276,111,104,61,29.9,A,"6' 3""",250,4.7,HOUSTON,2017,2,47,105,Tyus Bowser,MIA
107,Lukas Van Ness,GB,90,52.9,44.8,64.7,68.1,458,191,256,11,23.8,A,"6' 5""",272,4.6,IOWA,2023,1,13,107,Lukas Van Ness,GB
107,David Ojabo,BLT,90,52.9,58.6,55.7,44.3,292,77,194,21,24.9,A,"6' 4""",265,,MICHIGAN,2022,2,45,107,David Ojabo,BLT
109,Austin Booker,CHI,94,52.5,43.1,59.4,70.8,283,120,154,9,22.3,A,"6' 6""",245,,KANSAS,2024,5,145,109,Austin Booker,CHI
110,Clelin Ferrell,WAS,99,51.7,55.0,58.8,57.3,443,220,212,11,27.9,A,"6' 4""",265,,CLEMSON,2019,1,4,110,Clelin Ferrell,WAS
111,Yetur Gross-Matos,SF,94,51.5,46.6,59.4,46.9,367,156,209,2,27.1,A,"6' 5""",265,,PENN STATE,2020,2,38,111,Yetur Gross-Matos,SF
112,Trevor Nowaske,DET,53,51.0,55.5,54.8,45.1,348,113,162,73,0.0,A,"6' 3""",235,,SAGINAW VALLEY STATE,2023,,,112,Trevor Nowaske,DET
113,Marshawn Kneeland,DAL,94,50.8,47.2,53.4,62.2,255,108,141,6,23.8,A,"6' 3""",275,,W MICHIGAN,2024,2,56,113,Marshawn Kneeland,DAL
114,Micheal Clemons,NYJ,72,50.6,46.6,55.2,70.4,624,288,333,3,27.7,A,"6' 5""",270,,TEXAS A&M,2022,4,117,114,Micheal Clemons,NYJ
115,Bud Dupree,LAC,48,46.5,48.5,50.9,63.1,570,186,364,20,32.2,A,"6' 4""",269,4.6,KENTUCKY,2015,1,22,115,Bud Dupree,LAC
116,Ogbo Okoronkwo,CLV,54,45.3,48.1,55.4,39.3,464,179,275,10,30.0,A,"6' 2""",250,4.8,OKLAHOMA,2018,5,160,116,Ogbo Okoronkwo,CLV
117,Lorenzo Carter,TEN,54,43.0,53.6,47.3,40.3,410,190,150,70,29.4,A,"6' 5""",252,4.5,GEORGIA,2018,3,66,117,Lorenzo Carter,TEN
117,Matthew Judon,ATL,15,43.0,53.6,53.9,31.1,655,240,328,87,32.7,A,"6' 3""",270,4.7,GRAND VALLEY STATE,2016,5,146,117,Matthew Judon,ATL
119,Jaylen Harrell,TEN,92,38.9,38.1,42.7,67.6,286,145,129,12,23.0,A,"6' 4""",242,,MICHIGAN,2024,7,253,119,Jaylen Harrell,TEN
