Rank,Player,Team,Jersey,Overall,Passing,Rushing,Receiving,PassBlock,RunBlock,Snaps,Passes,Rushes,Receptions,PassBlocks,RunBlocks,Age,GradeLevel,Height,Weight,Speed,College,DraftYear,DraftRound,DraftPick
44,J.K. Dobbins,LAC,27,66.6,-,67.1,54.5,69.6,68.9,568,—,206,239,100,23,26.3,A,"5' 10""",215,,OHIO STATE,2020,2,55
45,Jaleel McLaughlin,DEN,38,65.2,-,70.3,51.3,27.2,60.5,304,—,113,155,8,28,0.0,A,"5' 7""",187,,YNGTOWN ST,2023,,
46,Jaylen Warren,PIT,30,64.3,-,68.3,70.9,22.4,52.5,473,—,125,250,68,30,26.5,A,"5' 8""",215,,OKLA STATE,2022,,
47,Isiah Pacheco,KC,10,63.3,-,65.2,54.6,66.9,55.6,276,—,98,141,30,7,25.1,A,"5' 10""",216,,RUTGERS,2022,7,252
48,Devin Singletary,NYG,26,62.1,-,64.5,54.0,71.9,41.2,380,—,114,176,65,25,27.6,A,"5' 7""",203,,FAU,2019,3,74
49,Breece Hall,NYJ,20,62.0,-,68.7,47.5,57.7,67.5,721,—,218,403,85,15,23.9,A,"6' 1""",220,,IOWA STATE,2022,2,36
50,Javonte Williams,DAL,33,61.7,-,60.5,63.7,68.4,42.3,604,—,151,320,110,23,25.0,A,"5' 10""",220,,N CAROLINA,2021,2,35
51,Alexander Mattison,MIA,8,61.4,-,62.3,62.2,41.1,58.0,444,—,138,236,48,22,26.8,A,"5' 11""",215,,BOISE ST,2019,3,102
52,D'Andre Swift,CHI,4,61.3,-,65.7,59.5,28.3,35.7,751,—,262,385,72,32,26.3,A,"5' 9""",215,,GEORGIA,2020,2,35
53,Travis Etienne Jr.,JAX,1,60.7,-,62.8,70.7,19.3,57.7,494,—,153,271,58,12,26.2,A,"5' 10""",215,,CLEMSON,2021,1,25
54,Dare Ogunbowale,HST,33,60.6,-,69.9,63.0,38.9,60.0,347,—,33,222,86,6,31.0,A,"5' 11""",205,4.7,WISCONSIN,2017,,
55,Ezekiel Elliott,LAC,0,60.5,-,59.6,61.4,59.8,58.2,258,—,74,135,30,19,29.7,P,"6' 0""",228,4.5,OHIO STATE,2016,1,4
56,Tyrone Tracy,NYG,29,58.4,-,69.6,40.6,35.1,40.0,647,—,193,338,75,41,25.4,A,"6' 1""",210,,PURDUE,2024,5,167
57,Zack Moss,CIN,31,58.2,-,55.4,66.2,50.6,60.0,297,—,74,161,51,11,27.3,A,"5' 9""",205,,UTAH,2020,3,86
58,Jonathan Taylor,IND,28,57.1,-,64.1,36.9,43.4,44.0,707,—,310,292,48,57,26.2,A,"5' 10""",226,,WISCONSIN,2020,2,41
59,Kenneth Gainwell,PIT,21,56.0,-,53.1,71.8,45.0,47.1,342,—,88,143,43,68,26.1,A,"5' 9""",200,,MEMPHIS,2021,5,151
